date,DIA,IVV,QQQ,SPY,VTI
2022-05-13,305.5611877441406,386.8074340820313,296.2816772460937,385.6514892578125,192.60964965820312
2022-05-16,306.08282470703125,385.1774291992188,292.8472900390625,384.0865783691406,191.66050720214844
2022-05-17,310.1794738769531,393.155029296875,300.43243408203125,391.9874267578125,195.75428771972656
2022-05-18,299.22674560546875,377.3628540039063,285.68414306640625,376.1859130859375,188.09402465820312
2022-05-19,296.9794006347656,375.0040283203125,284.1533203125,373.8818359375,187.2598876953125
2022-05-20,296.96514892578125,375.1958618164063,283.27020263671875,374.0450439453125,187.2598876953125
2022-05-23,303.0675354003906,382.2049560546875,287.9802551269531,381.0434265136719,190.46209716796875
2022-05-24,303.5903015136719,379.4627380371094,281.8572082519531,378.1346740722656,188.55421447753903
2022-05-25,305.3868713378906,382.8186645507813,285.8018798828125,381.4754333496094,190.65383911132807
2022-05-26,310.3010559082031,390.3072509765625,293.7205810546875,389.0978393554688,194.55584716796875
2022-05-27,315.64312744140625,400.0779418945313,303.3076171875,398.6498718261719,199.4837646484375
2022-05-31,313.8656616210937,397.7957763671875,302.5028686523437,396.41302490234375,197.84434509277344
2022-06-01,312.1165466308594,394.5740966796875,300.265625,393.2066345214844,196.5404357910156
2022-06-02,316.3085021972656,402.005126953125,308.48858642578125,400.6946411132813,200.5479278564453
2022-06-03,313.0576477050781,395.4083557128906,300.4618835449219,394.11865234375,197.3457946777344
2022-06-06,313.1527099609375,396.5972595214844,301.4627380371094,395.3186340332031,197.93060302734372
2022-06-07,315.7381286621094,400.2791748046875,304.0630798339844,399.1106567382813,200.0781707763672
2022-06-08,313.0860900878906,395.9452819824219,301.8748779296875,394.7714538574219,197.83474731445312
2022-06-09,307.021728515625,386.6471557617188,293.789306640625,385.3826904296875,193.09860229492188
2022-06-10,298.81866455078125,375.2399291992188,283.4271850585937,374.2082214355469,187.3653717041016
2022-06-13,290.46337890625,360.8124084472656,270.2489013671875,360.000244140625,179.71466064453125
2022-06-14,289.2467346191406,359.8505249023437,270.739501953125,358.9153747558594,179.20652770996094
2022-06-15,292.0318603515625,364.9771423339844,277.5003662109375,364.0322570800781,181.81430053710935
